Country/Region,weather_param,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20
Afghanistan,maxtempC,-1,-3,0,0,-1,-1,-2,-3,-2,-1,-1,-1,0,-1,-2,-1,-1,4,3,1,1,1,6,2,5,1,5,7,5,6,7,9,11,11,10,13,14,12,9,13,16,14,7,8,12,10,9,8,6,9,7,13,14,14,14,15,17,17,13,15,16,10,12,14,15,16,14,15,8,6,10
Afghanistan,mintempC,-12,-13,-9,-8,-10,-8,-9,-12,-12,-8,-10,-10,-8,-8,-10,-11,-12,-9,-6,-6,-3,-6,-2,-7,-4,-6,-5,-3,-2,-4,-3,0,-1,1,2,2,6,6,3,2,4,5,4,4,3,3,2,1,3,2,2,1,4,4,5,5,6,6,7,6,7,8,5,8,5,8,7,5,5,3,2
Afghanistan,humidity,65,59,71,79,64,66,59,56,66,70,60,57,73,89,70,57,50,45,48,65,97,99,81,38,39,39,33,41,49,55,50,51,47,47,50,42,59,70,74,65,46,39,75,79,53,39,34,54,74,71,70,52,31,30,32,44,44,39,54,61,39,68,78,63,61,47,46,54,83,92,66
Albania,maxtempC,11,14,15,12,14,13,12,13,13,14,14,15,15,16,8,6,9,14,13,12,14,16,16,9,15,16,15,14,15,11,11,12,14,16,17,17,7,9,11,14,18,17,11,13,12,13,11,13,11,15,21,20,20,15,17,15,19,17,18,19,18,9,7,15,16,13,14,16,19,17,6
Albania,mintempC,6,6,6,3,7,2,7,5,5,4,5,7,9,8,3,-1,-2,1,4,6,9,7,8,3,5,5,8,6,8,5,4,4,6,8,10,8,2,1,3,4,10,10,6,8,7,2,7,6,5,4,9,12,12,9,7,8,7,6,8,12,11,5,3,3,7,6,6,8,8,9,4
Albania,humidity,51,52,56,78,78,86,84,83,75,65,80,82,81,82,71,56,51,59,65,77,78,80,64,78,66,61,62,70,77,76,57,54,54,62,71,74,79,83,58,57,71,73,85,75,68,87,87,82,74,69,68,66,71,77,63,60,60,60,62,63,56,78,75,64,63,79,79,75,67,69,93
Algeria,maxtempC,19,20,21,20,17,19,18,20,20,19,19,21,22,21,14,17,17,17,18,24,23,24,16,22,23,24,23,16,16,20,18,20,20,22,20,18,19,23,22,20,20,16,18,22,17,14,18,15,14,24,28,22,19,21,21,18,19,19,20,17,19,20,17,12,15,14,14,15,20,24,20
Algeria,mintempC,13,13,12,13,13,11,12,14,14,15,14,15,17,14,11,8,11,13,13,15,16,16,14,14,16,18,17,12,11,12,14,14,14,16,15,14,13,14,16,16,14,11,13,14,13,10,11,10,10,11,17,15,15,13,16,15,14,14,13,13,14,15,14,8,10,10,9,11,11,16,16
Algeria,humidity,50,59,50,46,63,65,60,58,52,54,67,69,61,57,66,54,43,71,70,54,37,45,74,70,68,67,66,83,76,69,69,67,52,46,51,64,65,50,42,57,58,54,74,66,62,60,53,54,63,47,47,50,79,74,71,87,83,81,73,80,64,65,78,66,65,69,71,73,58,54,66
Andorra,maxtempC,0,-1,1,1,3,2,4,5,5,4,6,8,9,6,6,7,7,6,6,11,9,7,8,10,10,9,12,7,10,12,12,14,16,16,9,3,8,9,9,5,3,0,5,5,0,1,7,1,11,16,15,10,11,10,3,10,13,12,9,10,7,7,9,1,1,5,8,8,0,5,6
Andorra,mintempC,-8,-7,-9,-5,-5,-7,-4,-6,-4,-2,-2,-1,1,-2,-3,-4,-3,-3,-4,-1,0,-2,0,-2,-1,0,1,-2,-4,0,-1,0,2,2,0,-4,-4,1,-2,-2,-8,-6,-6,-3,-6,-7,-4,-5,-4,0,4,3,2,1,-3,-1,0,-1,-3,0,-1,0,-1,-5,-7,-9,-5,-4,-4,-6,-1
Andorra,humidity,98,97,91,97,94,91,90,69,89,94,89,83,76,83,44,38,42,62,85,77,82,87,89,69,63,53,62,70,56,40,47,33,38,31,50,69,75,87,87,89,93,88,87,97,83,88,77,86,79,55,63,94,83,85,99,92,85,72,74,68,86,89,81,88,83,74,82,80,97,96,95
Angola,maxtempC,30,30,30,30,30,29,30,30,30,28,29,29,29,28,28,29,30,30,28,29,28,29,30,29,29,25,28,29,30,31,31,31,30,30,30,30,29,29,30,30,31,30,29,29,30,30,29,30,30,29,31,31,30,31,29,29,29,31,29,29,29,30,30,29,29,29,30,30,29,30,29
Angola,mintempC,26,26,27,26,26,27,24,27,25,25,26,27,26,26,26,25,27,27,22,26,26,25,27,27,26,21,25,26,22,26,27,27,28,27,26,27,26,25,25,25,26,27,26,25,26,26,27,27,25,25,26,26,27,27,23,25,25,25,26,25,24,25,26,26,26,25,25,25,25,25,26
Angola,humidity,78,80,77,77,73,74,79,78,76,79,76,78,78,77,78,78,74,72,81,78,78,79,78,76,77,82,79,80,77,78,81,79,76,77,78,74,74,76,76,78,76,76,75,78,77,77,79,79,80,80,77,78,79,80,76,78,78,79,74,74,77,77,79,78,79,81,78,81,81,81,78
Antigua and Barbuda,maxtempC,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,25,25,26,26,26,26,26,26,25,26
Antigua and Barbuda,mintempC,21,25,25,25,25,25,25,25,25,25,25,25,25,25,21,25,26,21,25,21,21,22,22,25,25,25,25,25,25,25,25,19,25,25,25,24,24,25,25,25,25,21,25,25,25,25,24,25,25,25,22,25,25,25,24,25,25,25,25,25,24,25,24,24,25,25,25,25,21,25,24
Antigua and Barbuda,humidity,77,79,80,75,75,73,72,73,74,73,78,76,74,75,78,77,74,74,76,74,75,77,75,76,78,77,77,75,75,73,74,74,68,76,77,78,74,75,76,75,72,76,75,73,75,76,70,70,73,75,77,76,74,71,65,67,76,76,75,77,79,79,79,76,75,75,78,76,73,73,68
Argentina,maxtempC,33,34,37,37,36,30,33,31,31,37,37,38,37,37,34,38,32,31,28,28,31,31,34,34,41,40,35,28,34,24,24,28,31,33,30,28,34,36,37,38,36,38,37,33,34,35,38,31,26,28,36,38,33,24,28,29,26,27,30,32,34,33,36,27,28,29,31,31,28,22,23
Argentina,mintempC,23,25,24,26,26,18,21,24,18,20,24,26,28,24,28,29,27,22,18,20,20,22,22,25,27,27,25,21,25,16,16,16,20,22,21,19,21,23,23,26,27,24,26,24,24,23,25,23,21,22,22,24,23,20,19,21,19,18,21,23,21,23,24,18,21,22,23,23,23,15,21
Argentina,humidity,61,49,35,33,38,36,33,42,39,24,27,31,36,45,43,48,61,54,49,44,51,49,48,45,20,34,65,48,39,33,39,43,45,41,37,43,35,31,41,29,33,40,39,43,39,43,34,45,60,70,67,44,47,52,52,61,67,59,42,36,37,36,42,61,69,61,58,58,64,73,79
Armenia,maxtempC,1,1,1,-1,3,5,3,5,6,6,2,3,5,2,4,7,8,7,-4,-4,-4,-5,-1,3,0,1,0,3,2,2,4,5,7,9,6,7,9,9,11,11,11,12,15,12,13,15,16,18,18,18,19,17,14,16,14,11,9,12,13,14,13,17,16,16,16,17,14,11,14,16,14
Armenia,mintempC,-5,-5,-4,-6,-6,-4,-4,-3,-2,0,-1,-4,-3,-4,-2,-1,1,-3,-9,-10,-13,-14,-9,-5,-7,-5,-5,-3,-2,-2,-1,1,1,4,-5,0,1,2,3,5,4,3,5,7,6,8,7,8,7,8,9,10,11,8,9,6,6,4,6,6,6,6,8,9,9,8,9,8,7,9,8
