place,deforestation(in Ha),rainfall(in mm),tree cover,level,level1
Andaman & Nicobar Island,16897,2967,676941,,1
Andhra Pradesh,31181,1170,984498,,1
Arunanchal Pradesh,200034,2782,6008894,10,
Assam,239252,1524,2436559,10,3
Bihar,1194,1224,205806,,
Chandigarh,13,979,940,0,5
Chhattisgarh,42839,1292,2265978,,10
Dadara & Nagar Havelli,0,2300,260,0,
Daman & Diu,0,700,3,0,
Goa,689,2900,116708,,10
Gujarat,89,1107,6996,0,0
Haryana,391,450,40115,0,1
Himachal Pradesh,4470,1520,1148261,,
Jammu & Kashmir,3949,1238,873136,,
Jharkhand,5048,1174,315905,,2
Karnataka,38587,1248,1864587,,
Kerala,57738,3107,2229509,,3
Lakshadweep,0,1700,0,0,5
Madhya Pradesh,8423,1200,865061,,6
Maharashtra,16648,2000,873332,,9
Manipur,165933,400,1594707,10,8
Meghalaya,168171,500,1479159,10,
Mizoram,200038,450,1654052,10,10
NCT of Delhi,12,611,121,,10
Nagaland,199257,511,1197464,10,
Odisha,98174,1489,1865774,10,0
Puducherry,121,1171,5548,0,0
Punjab,1240,649,69341,,
Rajasthan,237,715,4084,0,
Sikkim,1187,2638,253502,,10
Tamil Nadu,22178,998,990734,0,10
Telangana,40208,1500,486132,10,5
Tripura,80477,2000,527234,8,5
Uttar Pradesh,4184,1025,369255,,
Uttarakhand,14329,1069,1727728,7,
West Bengal,13000,1650,327951,6,1
