State,Year,Annual Rainfall,REGION(IN INDIA),TREE COVER,DEF
Andaman & Nicobar Island,2000,2763.2,Island,680192,16897
Andaman & Nicobar Island,2001,3080.9,Island,680192,16897
Andaman & Nicobar Island,2002,2620.2,Island,680192,16897
Andaman & Nicobar Island,2003,2355.9,Island,680192,16897
Andaman & Nicobar Island,2004,2460.1,Island,680192,16897
Andaman & Nicobar Island,2005,2954.7,Island,680192,16897
Andaman & Nicobar Island,2006,2404.7,Island,680192,16897
Andaman & Nicobar Island,2007,2748,Island,680192,16897
Andaman & Nicobar Island,2008,3374.8,Island,680192,16897
Andaman & Nicobar Island,2009,2538.6,Island,680192,16897
Andaman & Nicobar Island,2010,3157.1,Island,680192,16897
Andaman & Nicobar Island,2011,3828,Island,680192,16897
Andaman & Nicobar Island,2012,3497.6,Island,680192,16897
Andaman & Nicobar Island,2013,3757.8,Island,680192,16897
Andaman & Nicobar Island,2014,2622.4,Island,680192,16897
Andaman & Nicobar Island,2015,2904.6,Island,680192,16897
Arunanchal Pradesh,2001,2036,East,984498,31181
Arunanchal Pradesh,2002,2389.2,East,984498,31181
Arunanchal Pradesh,2003,2451.8,East,984498,31181
Arunanchal Pradesh,2004,2545.7,East,984498,31181
Arunanchal Pradesh,2005,2335.5,East,984498,31181
Arunanchal Pradesh,2006,2259.6,East,984498,31181
Arunanchal Pradesh,2007,3020.7,East,984498,31181
Arunanchal Pradesh,2008,2244.4,East,984498,31181
Arunanchal Pradesh,2009,1749.9,East,984498,31181
Arunanchal Pradesh,2010,2855.7,East,984498,31181
Arunanchal Pradesh,2011,2193.7,East,984498,31181
Arunanchal Pradesh,2012,3440.3,East,984498,31181
Arunanchal Pradesh,2013,2042.9,East,984498,31181
Arunanchal Pradesh,2014,2403.2,East,984498,31181
Arunanchal Pradesh,2015,2767.5,East,984498,31181
Assam,2000,2487,East,2436559,239252
Assam,2001,2178.4,East,2436559,239252
Assam,2002,2392.7,East,2436559,239252
Assam,2003,2434.1,East,2436559,239252
Assam,2004,2994.3,East,2436559,239252
Assam,2005,2468.3,East,2436559,239252
Assam,2006,1898.6,East,2436559,239252
Assam,2007,2752.8,East,2436559,239252
Assam,2008,2339.7,East,2436559,239252
Assam,2009,2068.2,East,2436559,239252
Assam,2010,2711.5,East,2436559,239252
Assam,2011,1743.4,East,2436559,239252
Assam,2012,2609.4,East,2436559,239252
Assam,2013,1816.4,East,2436559,239252
Assam,2014,2206.1,East,2436559,239252
Assam,2015,2470.9,East,2436559,239252
Tripura,2000,600,East,1479159,168171
Tripura,2001,550,East,1479159,168171
Tripura,2002,652,East,1479159,168171
Tripura,2003,899,East,1479159,168171
Tripura,2004,1000,East,1479159,168171
Tripura,2005,654,East,1479159,168171
Tripura,2006,899,East,1479159,168171
Tripura,2007,900,East,1479159,168171
Tripura,2008,800,East,1479159,168171
Tripura,2009,789,East,1479159,168171
Tripura,2010,600,East,1479159,168171
Tripura,2011,899,East,1479159,168171
Tripura,2012,988,East,1479159,168171
Tripura,2013,978,East,1479159,168171
Tripura,2014,689,East,1479159,168171
Tripura,2015,789,East,1479159,168171
West Bengal,2000,2908,North Eastern,2000000,40115
West Bengal,2001,2612.6,North Eastern,2000000,40115
West Bengal,2002,2547,North Eastern,2000000,40115
West Bengal,2003,2723.3,North Eastern,2000000,40115
West Bengal,2004,2714.7,North Eastern,2000000,40115
West Bengal,2005,2807.7,North Eastern,2000000,40115
West Bengal,2006,2262.1,North Eastern,2000000,40115
West Bengal,2007,2638.9,North Eastern,2000000,40115
West Bengal,2008,2689.9,North Eastern,2000000,40115
West Bengal,2009,2324.6,North Eastern,2000000,40115
West Bengal,2010,2612.3,North Eastern,2000000,40115
West Bengal,2011,2418.7,North Eastern,2000000,40115
West Bengal,2012,2632.2,North Eastern,2000000,40115
West Bengal,2013,2406.1,North Eastern,2000000,40115
West Bengal,2014,2322.6,North Eastern,2000000,40115
West Bengal,2015,2518.6,North Eastern,2000000,40115
Sikkim,2000,1572.1,North Eastern,327951,13000
Sikkim,2001,1540.6,North Eastern,327951,13000
Sikkim,2002,1613.3,North Eastern,327951,13000
Sikkim,2003,1496.7,North Eastern,327951,13000
Sikkim,2004,1569.4,North Eastern,327951,13000
Sikkim,2005,1604.9,North Eastern,327951,13000
Sikkim,2006,1660.5,North Eastern,327951,13000
Sikkim,2007,1941.4,North Eastern,327951,13000
Sikkim,2008,1555.2,North Eastern,327951,13000
Sikkim,2009,1315,North Eastern,327951,13000
Sikkim,2010,1064.8,North Eastern,327951,13000
Sikkim,2011,1686.5,North Eastern,327951,13000
Sikkim,2012,1268,North Eastern,327951,13000
Sikkim,2013,1764.1,North Eastern,327951,13000
Sikkim,2014,1261.4,North Eastern,327951,13000
Sikkim,2015,1530.3,North Eastern,327951,13000
Odisha,2000,1097.2,North Eastern,1865774,98174
Odisha,2001,1672.5,North Eastern,1865774,98174
Odisha,2002,1102.8,North Eastern,1865774,98174
Odisha,2003,1648.2,North Eastern,1865774,98174
Odisha,2004,1290.4,North Eastern,1865774,98174
